Dataset Name,Activity Type,Emission Resource
Exiobase 2019,5.2 - Business loans and unlisted equity,Production of electricity by petroleum and other oil derivatives
Exiobase 2019,Top-Down,Production of electricity by petroleum and other oil derivatives
Exiobase 2019,5.1 - Listed equity and corporate bonds,Production of electricity by petroleum and other oil derivatives
Exiobase 2019,Purchased Goods and Services,Sub-Bituminous Coal
Exiobase 2019,Capital Goods / CAPEX,Sub-Bituminous Coal
Exiobase 2019,Purchased Goods and Services,Hotel and restaurant services 
Exiobase 2019,Capital Goods / CAPEX,Hotel and restaurant services 
Exiobase 2019,5.2 - Business loans and unlisted equity,Manufacture of coke oven products
Exiobase 2019,Top-Down,Manufacture of coke oven products
Exiobase 2019,5.1 - Listed equity and corporate bonds,Manufacture of coke oven products
Exiobase 2019,Purchased Goods and Services,Electricity by petroleum and other oil derivatives
Exiobase 2019,Capital Goods / CAPEX,Electricity by petroleum and other oil derivatives
Exiobase 2019,Purchased Goods and Services,Health and social work services 
Exiobase 2019,Capital Goods / CAPEX,Health and social work services 
Exiobase 2019,5.2 - Business loans and unlisted equity,Production of electricity by petroleum and other oil derivatives
Exiobase 2019,Top-Down,Production of electricity by petroleum and other oil derivatives
Exiobase 2019,5.1 - Listed equity and corporate bonds,Production of electricity by petroleum and other oil derivatives
Exiobase 2019,5.2 - Business loans and unlisted equity,Distribution and trade of electricity
Exiobase 2019,Top-Down,Distribution and trade of electricity
Exiobase 2019,5.1 - Listed equity and corporate bonds,Distribution and trade of electricity
Exiobase 2019,5.2 - Business loans and unlisted equity,Incineration of waste: Metals and Inert materials
Exiobase 2019,Top-Down,Incineration of waste: Metals and Inert materials
Exiobase 2019,5.1 - Listed equity and corporate bonds,Incineration of waste: Metals and Inert materials
Exiobase 2019,Purchased Goods and Services,Anthracite
Exiobase 2019,Capital Goods / CAPEX,Anthracite
Exiobase 2019,5.2 - Business loans and unlisted equity,Meat animals nec
Exiobase 2019,Top-Down,Meat animals nec
Exiobase 2019,5.1 - Listed equity and corporate bonds,Meat animals nec
Exiobase 2019,Purchased Goods and Services,Health and social work services 
Exiobase 2019,Capital Goods / CAPEX,Health and social work services 
Exiobase 2019,5.2 - Business loans and unlisted equity,Public administration and defence; compulsory social security 
Exiobase 2019,Top-Down,Public administration and defence; compulsory social security 
Exiobase 2019,5.1 - Listed equity and corporate bonds,Public administration and defence; compulsory social security 
Exiobase 2019,5.2 - Business loans and unlisted equity,Animal products nec
Exiobase 2019,Top-Down,Animal products nec
Exiobase 2019,5.1 - Listed equity and corporate bonds,Animal products nec
Exiobase 2019,5.2 - Business loans and unlisted equity,Mining of coal and lignite; extraction of peat 
Exiobase 2019,Top-Down,Mining of coal and lignite; extraction of peat 
Exiobase 2019,5.1 - Listed equity and corporate bonds,Mining of coal and lignite; extraction of peat 
Exiobase 2019,5.2 - Business loans and unlisted equity,Quarrying of sand and clay
Exiobase 2019,Top-Down,Quarrying of sand and clay
Exiobase 2019,5.1 - Listed equity and corporate bonds,Quarrying of sand and clay
Exiobase 2019,Purchased Goods and Services,Cereal grains nec
Exiobase 2019,Capital Goods / CAPEX,Cereal grains nec
Exiobase 2019,Purchased Goods and Services,Gasoline Type Jet Fuel
Exiobase 2019,Capital Goods / CAPEX,Gasoline Type Jet Fuel
Exiobase 2019,5.2 - Business loans and unlisted equity,"Biogasification of food waste, incl. land application"
Exiobase 2019,Top-Down,"Biogasification of food waste, incl. land application"
Exiobase 2019,5.1 - Listed equity and corporate bonds,"Biogasification of food waste, incl. land application"
Exiobase 2019,5.2 - Business loans and unlisted equity,Transport via railways
Exiobase 2019,Top-Down,Transport via railways
Exiobase 2019,5.1 - Listed equity and corporate bonds,Transport via railways
Exiobase 2019,Purchased Goods and Services,Sea and coastal water transportation services
Exiobase 2019,Employee Commuting,Sea and coastal water transportation services
Exiobase 2019,Upstream Transportation and Distribution,Sea and coastal water transportation services
Exiobase 2019,Capital Goods / CAPEX,Sea and coastal water transportation services
Exiobase 2019,Downstream Transportation and Distribution,Sea and coastal water transportation services
Exiobase 2019,Business Travel,Sea and coastal water transportation services
Exiobase 2019,5.2 - Business loans and unlisted equity,"Wholesale trade and commission trade, except of motor vehicles and motorcycles "
Exiobase 2019,Top-Down,"Wholesale trade and commission trade, except of motor vehicles and motorcycles "
Exiobase 2019,5.1 - Listed equity and corporate bonds,"Wholesale trade and commission trade, except of motor vehicles and motorcycles "
Exiobase 2019,Purchased Goods and Services,P- and other fertiliser
Exiobase 2019,Capital Goods / CAPEX,P- and other fertiliser
Exiobase 2019,5.2 - Business loans and unlisted equity,Other service activities 
Exiobase 2019,Top-Down,Other service activities 
Exiobase 2019,5.1 - Listed equity and corporate bonds,Other service activities 
Exiobase 2019,Purchased Goods and Services,Plastic waste for treatment: incineration
Exiobase 2019,Capital Goods / CAPEX,Plastic waste for treatment: incineration
Exiobase 2019,Purchased Goods and Services,Sugar
Exiobase 2019,Capital Goods / CAPEX,Sugar
Exiobase 2019,5.2 - Business loans and unlisted equity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
Exiobase 2019,Top-Down,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
Exiobase 2019,5.1 - Listed equity and corporate bonds,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
Exiobase 2019,5.2 - Business loans and unlisted equity,Other land transport
Exiobase 2019,Top-Down,Other land transport
Exiobase 2019,5.1 - Listed equity and corporate bonds,Other land transport
Exiobase 2019,5.2 - Business loans and unlisted equity,Construction 
Exiobase 2019,Top-Down,Construction 
Exiobase 2019,5.1 - Listed equity and corporate bonds,Construction 
Exiobase 2019,Purchased Goods and Services,Petroleum Coke
Exiobase 2019,Capital Goods / CAPEX,Petroleum Coke
Exiobase 2019,5.2 - Business loans and unlisted equity,Incineration of waste: Paper
Exiobase 2019,Top-Down,Incineration of waste: Paper
Exiobase 2019,5.1 - Listed equity and corporate bonds,Incineration of waste: Paper
Exiobase 2019,Purchased Goods and Services,Wood and products of wood and cork 
Exiobase 2019,Capital Goods / CAPEX,Wood and products of wood and cork 
Exiobase 2019,Purchased Goods and Services,Kerosene Type Jet Fuel
Exiobase 2019,Capital Goods / CAPEX,Kerosene Type Jet Fuel
Exiobase 2019,5.2 - Business loans and unlisted equity,Landfill of waste: Paper
Exiobase 2019,Top-Down,Landfill of waste: Paper
Exiobase 2019,5.1 - Listed equity and corporate bonds,Landfill of waste: Paper
Exiobase 2019,Purchased Goods and Services,Real estate services 
Exiobase 2019,Capital Goods / CAPEX,Real estate services 
Exiobase 2019,Purchased Goods and Services,Electrical machinery and apparatus n.e.c. 
Exiobase 2019,Capital Goods / CAPEX,Electrical machinery and apparatus n.e.c. 
Exiobase 2019,5.2 - Business loans and unlisted equity,Mining of nickel ores and concentrates
Exiobase 2019,Top-Down,Mining of nickel ores and concentrates
Exiobase 2019,5.1 - Listed equity and corporate bonds,Mining of nickel ores and concentrates
Exiobase 2019,5.2 - Business loans and unlisted equity,"Collection, purification and distribution of water "
Exiobase 2019,Top-Down,"Collection, purification and distribution of water "
Exiobase 2019,5.1 - Listed equity and corporate bonds,"Collection, purification and distribution of water "
Exiobase 2019,Purchased Goods and Services,Natural Gas Liquids
Exiobase 2019,Capital Goods / CAPEX,Natural Gas Liquids
Exiobase 2019,Purchased Goods and Services,Refinery Feedstocks
Exiobase 2019,Capital Goods / CAPEX,Refinery Feedstocks
Exiobase 2019,Purchased Goods and Services,Bitumen
Exiobase 2019,Capital Goods / CAPEX,Bitumen
Exiobase 2019,Purchased Goods and Services,Intert/metal waste for treatment: incineration
Exiobase 2019,Capital Goods / CAPEX,Intert/metal waste for treatment: incineration
Exiobase 2019,Purchased Goods and Services,Biogasoline
Exiobase 2019,Capital Goods / CAPEX,Biogasoline
Exiobase 2019,Purchased Goods and Services,Real estate services 
Exiobase 2019,Capital Goods / CAPEX,Real estate services 
Exiobase 2019,Purchased Goods and Services,Intert/metal waste for treatment: incineration
Exiobase 2019,Capital Goods / CAPEX,Intert/metal waste for treatment: incineration
Exiobase 2019,Purchased Goods and Services,Meat products nec
Exiobase 2019,Capital Goods / CAPEX,Meat products nec
Exiobase 2019,Purchased Goods and Services,Other non-metallic mineral products
Exiobase 2019,Capital Goods / CAPEX,Other non-metallic mineral products
Exiobase 2019,Purchased Goods and Services,Fish products
Exiobase 2019,Capital Goods / CAPEX,Fish products
Exiobase 2019,Purchased Goods and Services,"Fabricated metal products, except machinery and equipment "
Exiobase 2019,Capital Goods / CAPEX,"Fabricated metal products, except machinery and equipment "
Exiobase 2019,5.2 - Business loans and unlisted equity,Re-processing of secondary aluminium into new aluminium
Exiobase 2019,Top-Down,Re-processing of secondary aluminium into new aluminium
Exiobase 2019,5.1 - Listed equity and corporate bonds,Re-processing of secondary aluminium into new aluminium
Exiobase 2019,Purchased Goods and Services,"Wool, silk-worm cocoons"
Exiobase 2019,Capital Goods / CAPEX,"Wool, silk-worm cocoons"
Exiobase 2019,Purchased Goods and Services,Other Liquid Biofuels
Exiobase 2019,Capital Goods / CAPEX,Other Liquid Biofuels
Exiobase 2019,5.2 - Business loans and unlisted equity,Other land transport
Exiobase 2019,Top-Down,Other land transport
Exiobase 2019,5.1 - Listed equity and corporate bonds,Other land transport
Exiobase 2019,5.2 - Business loans and unlisted equity,Manufacture of wearing apparel; dressing and dyeing of fur 
Exiobase 2019,Top-Down,Manufacture of wearing apparel; dressing and dyeing of fur 
Exiobase 2019,5.1 - Listed equity and corporate bonds,Manufacture of wearing apparel; dressing and dyeing of fur 
Exiobase 2019,Purchased Goods and Services,Hotel and restaurant services 
Exiobase 2019,Capital Goods / CAPEX,Hotel and restaurant services 
Exiobase 2019,5.2 - Business loans and unlisted equity,"Wool, silk-worm cocoons"
Exiobase 2019,Top-Down,"Wool, silk-worm cocoons"
Exiobase 2019,5.1 - Listed equity and corporate bonds,"Wool, silk-worm cocoons"
Exiobase 2019,5.2 - Business loans and unlisted equity,Mining of other non-ferrous metal ores and concentrates
Exiobase 2019,Top-Down,Mining of other non-ferrous metal ores and concentrates
Exiobase 2019,5.1 - Listed equity and corporate bonds,Mining of other non-ferrous metal ores and concentrates
Exiobase 2019,5.2 - Business loans and unlisted equity,Incineration of waste: Plastic
Exiobase 2019,Top-Down,Incineration of waste: Plastic
Exiobase 2019,5.1 - Listed equity and corporate bonds,Incineration of waste: Plastic
Exiobase 2019,Purchased Goods and Services,Electricity by wind
Exiobase 2019,Capital Goods / CAPEX,Electricity by wind
Exiobase 2019,5.2 - Business loans and unlisted equity,Incineration of waste: Oil/Hazardous waste
Exiobase 2019,Top-Down,Incineration of waste: Oil/Hazardous waste
Exiobase 2019,5.1 - Listed equity and corporate bonds,Incineration of waste: Oil/Hazardous waste
Exiobase 2019,5.2 - Business loans and unlisted equity,Landfill of waste: Inert/metal/hazardous
Exiobase 2019,Top-Down,Landfill of waste: Inert/metal/hazardous
Exiobase 2019,5.1 - Listed equity and corporate bonds,Landfill of waste: Inert/metal/hazardous
Exiobase 2019,Purchased Goods and Services,Pulp
Exiobase 2019,Capital Goods / CAPEX,Pulp
Exiobase 2019,Purchased Goods and Services,Wood waste for treatment: landfill
Exiobase 2019,Capital Goods / CAPEX,Wood waste for treatment: landfill
Exiobase 2019,5.2 - Business loans and unlisted equity,Hotels and restaurants 
Exiobase 2019,Top-Down,Hotels and restaurants 
Exiobase 2019,5.1 - Listed equity and corporate bonds,Hotels and restaurants 
Exiobase 2019,Purchased Goods and Services,Wood waste for treatment: incineration
Exiobase 2019,Capital Goods / CAPEX,Wood waste for treatment: incineration
Exiobase 2019,Purchased Goods and Services,"Lead, zinc and tin and products thereof"
Exiobase 2019,Capital Goods / CAPEX,"Lead, zinc and tin and products thereof"
Exiobase 2019,Purchased Goods and Services,Gas Works Gas
Exiobase 2019,Capital Goods / CAPEX,Gas Works Gas
Exiobase 2019,5.2 - Business loans and unlisted equity,"Lead, zinc and tin production"
Exiobase 2019,Top-Down,"Lead, zinc and tin production"
Exiobase 2019,5.1 - Listed equity and corporate bonds,"Lead, zinc and tin production"
Exiobase 2019,Purchased Goods and Services,Ceramic goods
Exiobase 2019,Capital Goods / CAPEX,Ceramic goods
Exiobase 2019,Purchased Goods and Services,"Radio, television and communication equipment and apparatus "
Exiobase 2019,Capital Goods / CAPEX,"Radio, television and communication equipment and apparatus "
Exiobase 2019,Purchased Goods and Services,"Fabricated metal products, except machinery and equipment "
Exiobase 2019,Capital Goods / CAPEX,"Fabricated metal products, except machinery and equipment "
Exiobase 2019,Purchased Goods and Services,Electricity by biomass and waste
Exiobase 2019,Capital Goods / CAPEX,Electricity by biomass and waste
Exiobase 2019,5.2 - Business loans and unlisted equity,Manufacture of rubber and plastic products 
Exiobase 2019,Top-Down,Manufacture of rubber and plastic products 
Exiobase 2019,5.1 - Listed equity and corporate bonds,Manufacture of rubber and plastic products 
Exiobase 2019,5.2 - Business loans and unlisted equity,Incineration of waste: Food
Exiobase 2019,Top-Down,Incineration of waste: Food
Exiobase 2019,5.1 - Listed equity and corporate bonds,Incineration of waste: Food
Exiobase 2019,Purchased Goods and Services,Other Hydrocarbons
Exiobase 2019,Capital Goods / CAPEX,Other Hydrocarbons
Exiobase 2019,Purchased Goods and Services,Food waste for treatment: composting and land application
Exiobase 2019,Capital Goods / CAPEX,Food waste for treatment: composting and land application
Exiobase 2019,Purchased Goods and Services,Chemicals nec
Exiobase 2019,Capital Goods / CAPEX,Chemicals nec
Exiobase 2019,5.2 - Business loans and unlisted equity,Manufacture of other transport equipment 
Exiobase 2019,Top-Down,Manufacture of other transport equipment 
Exiobase 2019,5.1 - Listed equity and corporate bonds,Manufacture of other transport equipment 
Exiobase 2019,Purchased Goods and Services,White Spirit & SBP
Exiobase 2019,Capital Goods / CAPEX,White Spirit & SBP
Exiobase 2019,Purchased Goods and Services,Sand and clay
Exiobase 2019,Capital Goods / CAPEX,Sand and clay
Exiobase 2019,5.2 - Business loans and unlisted equity,Sugar refining
Exiobase 2019,Top-Down,Sugar refining
Exiobase 2019,5.1 - Listed equity and corporate bonds,Sugar refining
Exiobase 2019,5.2 - Business loans and unlisted equity,Landfill of waste: Textiles
Exiobase 2019,Top-Down,Landfill of waste: Textiles
Exiobase 2019,5.1 - Listed equity and corporate bonds,Landfill of waste: Textiles
Exiobase 2019,5.2 - Business loans and unlisted equity,Distribution and trade of electricity
Exiobase 2019,Top-Down,Distribution and trade of electricity
Exiobase 2019,5.1 - Listed equity and corporate bonds,Distribution and trade of electricity
Exiobase 2019,Purchased Goods and Services,Public administration and defence services; compulsory social security services 
Exiobase 2019,Capital Goods / CAPEX,Public administration and defence services; compulsory social security services 
Exiobase 2019,5.2 - Business loans and unlisted equity,Other business activities 
Exiobase 2019,Top-Down,Other business activities 
Exiobase 2019,5.1 - Listed equity and corporate bonds,Other business activities 
Exiobase 2019,5.2 - Business loans and unlisted equity,Processing vegetable oils and fats
Exiobase 2019,Top-Down,Processing vegetable oils and fats
Exiobase 2019,5.1 - Listed equity and corporate bonds,Processing vegetable oils and fats
Exiobase 2019,Purchased Goods and Services,Furniture; other manufactured goods n.e.c. 
Exiobase 2019,Capital Goods / CAPEX,Furniture; other manufactured goods n.e.c. 
Exiobase 2019,Purchased Goods and Services,Electricity by hydro
Exiobase 2019,Capital Goods / CAPEX,Electricity by hydro
Exiobase 2019,5.2 - Business loans and unlisted equity,Mining of coal and lignite; extraction of peat 
Exiobase 2019,Top-Down,Mining of coal and lignite; extraction of peat 
Exiobase 2019,5.1 - Listed equity and corporate bonds,Mining of coal and lignite; extraction of peat 
Exiobase 2019,5.2 - Business loans and unlisted equity,Activities of membership organisation n.e.c. 
Exiobase 2019,Top-Down,Activities of membership organisation n.e.c. 
Exiobase 2019,5.1 - Listed equity and corporate bonds,Activities of membership organisation n.e.c. 
Exiobase 2019,Purchased Goods and Services,Printed matter and recorded media 
Exiobase 2019,Capital Goods / CAPEX,Printed matter and recorded media 
Exiobase 2019,5.2 - Business loans and unlisted equity,Production of electricity by wind
Exiobase 2019,Top-Down,Production of electricity by wind
Exiobase 2019,5.1 - Listed equity and corporate bonds,Production of electricity by wind
Exiobase 2019,Purchased Goods and Services,Paddy rice
Exiobase 2019,Capital Goods / CAPEX,Paddy rice
Exiobase 2019,5.2 - Business loans and unlisted equity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c."
Exiobase 2019,Top-Down,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c."
Exiobase 2019,5.1 - Listed equity and corporate bonds,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c."
Exiobase 2019,5.2 - Business loans and unlisted equity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof
Exiobase 2019,Top-Down,Manufacture of basic iron and steel and of ferro-alloys and first products thereof
Exiobase 2019,5.1 - Listed equity and corporate bonds,Manufacture of basic iron and steel and of ferro-alloys and first products thereof
Exiobase 2019,5.2 - Business loans and unlisted equity,Cattle farming
Exiobase 2019,Top-Down,Cattle farming
Exiobase 2019,5.1 - Listed equity and corporate bonds,Cattle farming
Exiobase 2019,5.2 - Business loans and unlisted equity,Production of electricity by solar photovoltaic
Exiobase 2019,Top-Down,Production of electricity by solar photovoltaic
Exiobase 2019,5.1 - Listed equity and corporate bonds,Production of electricity by solar photovoltaic
Exiobase 2019,5.2 - Business loans and unlisted equity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
Exiobase 2019,Top-Down,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
Exiobase 2019,5.1 - Listed equity and corporate bonds,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
Exiobase 2019,Purchased Goods and Services,Gas Works Gas
Exiobase 2019,Capital Goods / CAPEX,Gas Works Gas
Exiobase 2019,5.2 - Business loans and unlisted equity,Mining of precious metal ores and concentrates
Exiobase 2019,Top-Down,Mining of precious metal ores and concentrates
Exiobase 2019,5.1 - Listed equity and corporate bonds,Mining of precious metal ores and concentrates
Exiobase 2019,5.2 - Business loans and unlisted equity,Manufacture of electrical machinery and apparatus n.e.c. 
Exiobase 2019,Top-Down,Manufacture of electrical machinery and apparatus n.e.c. 
Exiobase 2019,5.1 - Listed equity and corporate bonds,Manufacture of electrical machinery and apparatus n.e.c. 
Exiobase 2019,5.2 - Business loans and unlisted equity,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods "
Exiobase 2019,Top-Down,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods "
Exiobase 2019,5.1 - Listed equity and corporate bonds,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods "
Exiobase 2019,5.2 - Business loans and unlisted equity,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear "
Exiobase 2019,Top-Down,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear "
Exiobase 2019,5.1 - Listed equity and corporate bonds,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear "
Exiobase 2019,Purchased Goods and Services,Transmission services of electricity
Exiobase 2019,Capital Goods / CAPEX,Transmission services of electricity
Exiobase 2019,Purchased Goods and Services,Sea and coastal water transportation services
Exiobase 2019,Employee Commuting,Sea and coastal water transportation services
Exiobase 2019,Upstream Transportation and Distribution,Sea and coastal water transportation services
Exiobase 2019,Capital Goods / CAPEX,Sea and coastal water transportation services
Exiobase 2019,Downstream Transportation and Distribution,Sea and coastal water transportation services
Exiobase 2019,Business Travel,Sea and coastal water transportation services
Exiobase 2019,Purchased Goods and Services,Dairy products
Exiobase 2019,Capital Goods / CAPEX,Dairy products
Exiobase 2019,Purchased Goods and Services,Aviation Gasoline
Exiobase 2019,Capital Goods / CAPEX,Aviation Gasoline
Exiobase 2019,Purchased Goods and Services,"Wool, silk-worm cocoons"
Exiobase 2019,Capital Goods / CAPEX,"Wool, silk-worm cocoons"
Exiobase 2019,5.2 - Business loans and unlisted equity,Manufacture of ceramic goods
Exiobase 2019,Top-Down,Manufacture of ceramic goods
Exiobase 2019,5.1 - Listed equity and corporate bonds,Manufacture of ceramic goods
Exiobase 2019,Purchased Goods and Services,Products of meat pigs
Exiobase 2019,Capital Goods / CAPEX,Products of meat pigs
Exiobase 2019,5.2 - Business loans and unlisted equity,Landfill of waste: Wood
Exiobase 2019,Top-Down,Landfill of waste: Wood
Exiobase 2019,5.1 - Listed equity and corporate bonds,Landfill of waste: Wood
Exiobase 2019,Purchased Goods and Services,Chemicals nec
Exiobase 2019,Capital Goods / CAPEX,Chemicals nec
Exiobase 2019,Purchased Goods and Services,Refinery Feedstocks
Exiobase 2019,Capital Goods / CAPEX,Refinery Feedstocks
Exiobase 2019,5.2 - Business loans and unlisted equity,Retail sale of automotive fuel
Exiobase 2019,Top-Down,Retail sale of automotive fuel
Exiobase 2019,5.1 - Listed equity and corporate bonds,Retail sale of automotive fuel
Exiobase 2019,5.2 - Business loans and unlisted equity,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals
Exiobase 2019,Top-Down,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals
Exiobase 2019,5.1 - Listed equity and corporate bonds,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals
Exiobase 2019,5.2 - Business loans and unlisted equity,Pulp
Exiobase 2019,Top-Down,Pulp
Exiobase 2019,5.1 - Listed equity and corporate bonds,Pulp
Exiobase 2019,5.2 - Business loans and unlisted equity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials "
Exiobase 2019,Top-Down,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials "
Exiobase 2019,5.1 - Listed equity and corporate bonds,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials "
Exiobase 2019,Purchased Goods and Services,Health and social work services 
Exiobase 2019,Capital Goods / CAPEX,Health and social work services 
Exiobase 2019,5.2 - Business loans and unlisted equity,Chemicals nec
Exiobase 2019,Top-Down,Chemicals nec
Exiobase 2019,5.1 - Listed equity and corporate bonds,Chemicals nec
Exiobase 2019,Purchased Goods and Services,Other Liquid Biofuels
Exiobase 2019,Capital Goods / CAPEX,Other Liquid Biofuels
Exiobase 2019,Purchased Goods and Services,Rubber and plastic products 
Exiobase 2019,Capital Goods / CAPEX,Rubber and plastic products 
Exiobase 2019,5.2 - Business loans and unlisted equity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials "
Exiobase 2019,Top-Down,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials "
Exiobase 2019,5.1 - Listed equity and corporate bonds,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials "
Exiobase 2019,Purchased Goods and Services,Food waste for treatment: waste water treatment
Exiobase 2019,Capital Goods / CAPEX,Food waste for treatment: waste water treatment
Exiobase 2019,5.2 - Business loans and unlisted equity,P- and other fertiliser
Exiobase 2019,Top-Down,P- and other fertiliser
Exiobase 2019,5.1 - Listed equity and corporate bonds,P- and other fertiliser
Exiobase 2019,Purchased Goods and Services,"Electricity by tide, wave, ocean"
Exiobase 2019,Capital Goods / CAPEX,"Electricity by tide, wave, ocean"
Exiobase 2019,5.2 - Business loans and unlisted equity,Copper production
Exiobase 2019,Top-Down,Copper production
Exiobase 2019,5.1 - Listed equity and corporate bonds,Copper production
Exiobase 2019,Purchased Goods and Services,Paper waste for treatment: incineration
Exiobase 2019,Capital Goods / CAPEX,Paper waste for treatment: incineration
Exiobase 2019,Purchased Goods and Services,"Products of forestry, logging and related services "
Exiobase 2019,Capital Goods / CAPEX,"Products of forestry, logging and related services "
Exiobase 2019,5.2 - Business loans and unlisted equity,Production of electricity by gas
Exiobase 2019,Top-Down,Production of electricity by gas
Exiobase 2019,5.1 - Listed equity and corporate bonds,Production of electricity by gas
Exiobase 2019,Purchased Goods and Services,Textiles 
Exiobase 2019,Capital Goods / CAPEX,Textiles 
Exiobase 2019,Purchased Goods and Services,Products of meat cattle
Exiobase 2019,Capital Goods / CAPEX,Products of meat cattle
Exiobase 2019,5.2 - Business loans and unlisted equity,Computer and related activities 
Exiobase 2019,Top-Down,Computer and related activities 
Exiobase 2019,5.1 - Listed equity and corporate bonds,Computer and related activities 
Exiobase 2019,Purchased Goods and Services,Paddy rice
Exiobase 2019,Capital Goods / CAPEX,Paddy rice
Exiobase 2019,5.2 - Business loans and unlisted equity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials "
Exiobase 2019,Top-Down,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials "
Exiobase 2019,5.1 - Listed equity and corporate bonds,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials "
Exiobase 2019,5.2 - Business loans and unlisted equity,Manufacture of furniture; manufacturing n.e.c. 
Exiobase 2019,Top-Down,Manufacture of furniture; manufacturing n.e.c. 
Exiobase 2019,5.1 - Listed equity and corporate bonds,Manufacture of furniture; manufacturing n.e.c. 
Exiobase 2019,Purchased Goods and Services,Glass and glass products
Exiobase 2019,Capital Goods / CAPEX,Glass and glass products
Exiobase 2019,5.2 - Business loans and unlisted equity,Manufacture of textiles 
Exiobase 2019,Top-Down,Manufacture of textiles 
Exiobase 2019,5.1 - Listed equity and corporate bonds,Manufacture of textiles 
Exiobase 2019,5.2 - Business loans and unlisted equity,"Mining of lead, zinc and tin ores and concentrates"
Exiobase 2019,Top-Down,"Mining of lead, zinc and tin ores and concentrates"
Exiobase 2019,5.1 - Listed equity and corporate bonds,"Mining of lead, zinc and tin ores and concentrates"
Exiobase 2019,5.2 - Business loans and unlisted equity,Private households with employed persons 
Exiobase 2019,Top-Down,Private households with employed persons 
Exiobase 2019,5.1 - Listed equity and corporate bonds,Private households with employed persons 
Exiobase 2019,5.2 - Business loans and unlisted equity,Incineration of waste: Plastic
Exiobase 2019,Top-Down,Incineration of waste: Plastic
Exiobase 2019,5.1 - Listed equity and corporate bonds,Incineration of waste: Plastic
Exiobase 2019,Purchased Goods and Services,Other Liquid Biofuels
Exiobase 2019,Capital Goods / CAPEX,Other Liquid Biofuels
Exiobase 2019,Purchased Goods and Services,Paper and paper products
Exiobase 2019,Capital Goods / CAPEX,Paper and paper products
Exiobase 2019,5.2 - Business loans and unlisted equity,Sugar refining
Exiobase 2019,Top-Down,Sugar refining
Exiobase 2019,5.1 - Listed equity and corporate bonds,Sugar refining
Exiobase 2019,5.2 - Business loans and unlisted equity,Cultivation of oil seeds
Exiobase 2019,Top-Down,Cultivation of oil seeds
Exiobase 2019,5.1 - Listed equity and corporate bonds,Cultivation of oil seeds
Exiobase 2019,Purchased Goods and Services,Education services 
Exiobase 2019,Capital Goods / CAPEX,Education services 
Exiobase 2019,Purchased Goods and Services,Sewage sludge for treatment: biogasification and land application
Exiobase 2019,Capital Goods / CAPEX,Sewage sludge for treatment: biogasification and land application
Exiobase 2019,5.2 - Business loans and unlisted equity,Manufacture of electrical machinery and apparatus n.e.c. 
Exiobase 2019,Top-Down,Manufacture of electrical machinery and apparatus n.e.c. 
Exiobase 2019,5.1 - Listed equity and corporate bonds,Manufacture of electrical machinery and apparatus n.e.c. 
Exiobase 2019,Purchased Goods and Services,"Medical, precision and optical instruments, watches and clocks "
Exiobase 2019,Capital Goods / CAPEX,"Medical, precision and optical instruments, watches and clocks "
Exiobase 2019,5.2 - Business loans and unlisted equity,Production of electricity nec
Exiobase 2019,Top-Down,Production of electricity nec
Exiobase 2019,5.1 - Listed equity and corporate bonds,Production of electricity nec
